,expert_classification,total_classifications,public_counts,percent_match,percent_sure,percent_not_sure,expert_user_id,workflow_id,expert_classified_at,subject_filename,image_url
72170161,Not Sure,15,"{'Not Sure': 3, 'Regular (Structured)': 11, 'Irregular (Random)': 1}",20.0,80.0,20.0,675706,19282,2022-01-28 23:25:14 UTC,MVK10-5-29F_DF286JPEG_cropped_resized(n).jpg,https://panoptes-uploads.zooniverse.org/subject_location/06c6e23e-f817-4f0b-add1-8dfcc61d469f.jpeg
72170211,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 13, 'Irregular (Random)': 2}",86.67,100.0,0.0,675706,19282,2022-01-28 23:25:17 UTC,PDL11610JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/ee8505c9-ca9e-4e43-9c26-d17440a1f7af.jpeg
72170276,Not Sure,18,"{'Not Sure': 5, 'Regular (Structured)': 3, 'Irregular (Random)': 10}",27.78,72.22,27.78,675706,19282,2022-01-28 23:25:22 UTC,PDLS01116_DF223JPEG_cropped_resized(i).jpg,https://panoptes-uploads.zooniverse.org/subject_location/249e2280-fb21-4f03-9650-d4775e120ee0.jpeg
72170273,Irregular (Random),16,"{'Not Sure': 3, 'Regular (Structured)': 4, 'Irregular (Random)': 9}",56.25,81.25,18.75,675706,19282,2022-01-28 23:25:27 UTC,PDLS01116_DF223JPEG_cropped_resized(f).jpg,https://panoptes-uploads.zooniverse.org/subject_location/13a35435-b28c-4a5c-9b9d-ad37cdc573eb.jpeg
72170188,Irregular (Random),15,"{'Not Sure': 1, 'Regular (Structured)': 1, 'Irregular (Random)': 13}",86.67,93.33,6.67,675706,19282,2022-01-28 23:25:29 UTC,PDL11215JPEG(a).png,https://panoptes-uploads.zooniverse.org/subject_location/24139249-dceb-4c9c-9d60-3deeff04bdcf.png
72170300,Irregular (Random),16,"{'Not Sure': 1, 'Regular (Structured)': 1, 'Irregular (Random)': 14}",87.5,93.75,6.25,675706,19282,2022-01-28 23:25:32 UTC,Shaw16641_D255JPEG(d).png,https://panoptes-uploads.zooniverse.org/subject_location/7e165f8f-6203-47d9-9c8e-046490f0be35.png
72170201,Regular (Structured),15,"{'Not Sure': 1, 'Regular (Structured)': 11, 'Irregular (Random)': 3}",73.33,93.33,6.67,675706,19282,2022-01-28 23:25:35 UTC,PDL11498JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e54ebb5b-b680-489c-860e-917e56eb38ea.jpeg
72170205,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 9, 'Irregular (Random)': 6}",60.0,100.0,0.0,675706,19282,2022-01-28 23:25:37 UTC,PDL11594JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e6b4b7f4-60d9-4c81-8a7a-254579dc75f1.jpeg
72170253,Regular (Structured),18,"{'Not Sure': 2, 'Regular (Structured)': 12, 'Irregular (Random)': 4}",66.67,88.89,11.11,675706,19282,2022-01-28 23:25:40 UTC,PDLS0078FJPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/7a4081dd-3ecc-4163-a69f-1bcd0c3e1cea.jpeg
72170174,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 9, 'Irregular (Random)': 6}",60.0,100.0,0.0,675706,19282,2022-01-28 23:25:42 UTC,MVK6500JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/8bfa0456-7a52-4394-b7f6-6cd1f25e0760.jpeg
