,expert_classification,total_classifications,public_counts,percent_match,percent_sure,percent_not_sure,expert_user_id,workflow_id,expert_classified_at,subject_filename
72170161,Not Sure,15,"{'Not Sure': 3, 'Regular (Structured)': 11, 'Irregular (Random)': 1}",20,80,20,675706,19282,2022-01-28 23:25:14 UTC,MVK10-5-29F_DF286JPEG_cropped_resized(n).jpg
72170211,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 13, 'Irregular (Random)': 2}",86.67,100,0,675706,19282,2022-01-28 23:25:17 UTC,PDL11610JPEG_cropped_resized(b).jpg
72170276,Not Sure,18,"{'Not Sure': 5, 'Regular (Structured)': 3, 'Irregular (Random)': 10}",27.78,72.22,27.78,675706,19282,2022-01-28 23:25:22 UTC,PDLS01116_DF223JPEG_cropped_resized(i).jpg
72170273,Irregular (Random),16,"{'Not Sure': 3, 'Regular (Structured)': 4, 'Irregular (Random)': 9}",56.25,81.25,18.75,675706,19282,2022-01-28 23:25:27 UTC,PDLS01116_DF223JPEG_cropped_resized(f).jpg
72170188,Irregular (Random),15,"{'Not Sure': 1, 'Regular (Structured)': 1, 'Irregular (Random)': 13}",86.67,93.33,6.67,675706,19282,2022-01-28 23:25:29 UTC,PDL11215JPEG(a).png
72170300,Irregular (Random),16,"{'Not Sure': 1, 'Regular (Structured)': 1, 'Irregular (Random)': 14}",87.5,93.75,6.25,675706,19282,2022-01-28 23:25:32 UTC,Shaw16641_D255JPEG(d).png
72170201,Regular (Structured),15,"{'Not Sure': 1, 'Regular (Structured)': 11, 'Irregular (Random)': 3}",73.33,93.33,6.67,675706,19282,2022-01-28 23:25:35 UTC,PDL11498JPEG(c).jpg
72170205,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 9, 'Irregular (Random)': 6}",60,100,0,675706,19282,2022-01-28 23:25:37 UTC,PDL11594JPEG(d).jpg
72170253,Regular (Structured),18,"{'Not Sure': 2, 'Regular (Structured)': 12, 'Irregular (Random)': 4}",66.67,88.89,11.11,675706,19282,2022-01-28 23:25:40 UTC,PDLS0078FJPEG_cropped_resized(b).jpg
72170174,Regular (Structured),15,"{'Not Sure': 0, 'Regular (Structured)': 9, 'Irregular (Random)': 6}",60,100,0,675706,19282,2022-01-28 23:25:42 UTC,MVK6500JPEG(b).jpg
