,expert_classification,total_classifications,public_counts,percent_match,percent_sure,percent_not_sure,expert_classification_id,expert_user_id,workflow_id,expert_classified_at,subject_filename,public_classification_ids
72170226,Male,8,"{'Not sure': 0, 'Sterile': 0, 'Female ': 0, 'Male': 8, 'Both Female and Male': 0}",100.0,0.0,0.0,393163632,675706,19279,2022-01-28 22:58:15 UTC,PDLK225_AK305241_DF046_MALEJPEG(d).jpg,"{0: [], 1: [], 2: [], 3: ['393163632', '393286095', '393316167', '393442330', '393478243', '393606765', '393688234', '393825184'], 4: []}"
72170268,Female ,5,"{'Not sure': 0, 'Sterile': 0, 'Female ': 5, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393163775,675706,19279,2022-01-28 22:59:05 UTC,PDLS01116_DF223JPEG_cropped_resized(a).jpg,"{0: [], 1: [], 2: ['393163775', '393316667', '393454664', '393480605', '393825539'], 3: [], 4: []}"
72170188,Sterile,8,"{'Not sure': 1, 'Sterile': 7, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",87.5,87.5,12.5,393163808,675706,19279,2022-01-28 22:59:17 UTC,PDL11215JPEG(a).png,"{0: ['393408799'], 1: ['393163808', '393253685', '393315519', '393367031', '393479512', '393606346', '393825371'], 2: [], 3: [], 4: []}"
72170174,Sterile,7,"{'Not sure': 0, 'Sterile': 7, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393163826,675706,19279,2022-01-28 22:59:23 UTC,MVK6500JPEG(b).jpg,"{0: [], 1: ['393163826', '393286896', '393316825', '393372189', '393601104', '393786634', '393825203'], 2: [], 3: [], 4: []}"
72170254,Sterile,6,"{'Not sure': 0, 'Sterile': 6, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393163836,675706,19279,2022-01-28 22:59:26 UTC,PDLS0078FJPEG_cropped_resized(c).jpg,"{0: [], 1: ['393162233', '393163836', '393317323', '393479479', '393603485', '393825390'], 2: [], 3: [], 4: []}"
72170309,Sterile,5,"{'Not sure': 0, 'Sterile': 5, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393163851,675706,19279,2022-01-28 22:59:30 UTC,Shaw17619_D384JPEG(a).jpg,"{0: [], 1: ['393163851', '393316494', '393480560', '393602130', '393834024'], 2: [], 3: [], 4: []}"
72170175,Sterile,6,"{'Not sure': 0, 'Sterile': 6, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393163860,675706,19279,2022-01-28 22:59:34 UTC,MVK6500JPEG(c).jpg,"{0: [], 1: ['393162122', '393163860', '393315455', '393546039', '393606115', '393825584'], 2: [], 3: [], 4: []}"
72170288,Not sure,7,"{'Not sure': 1, 'Sterile': 5, 'Female ': 0, 'Male': 0, 'Both Female and Male': 1}",14.29,71.43,14.29,393163933,675706,19279,2022-01-28 23:00:00 UTC,PDLS99155AJPEG_cropped_resized(b).jpg,"{0: ['393163933'], 1: ['393317329', '393442767', '393480715', '393604401', '393825143'], 2: [], 3: [], 4: ['393471503']}"
72170298,Female ,6,"{'Not sure': 1, 'Sterile': 0, 'Female ': 5, 'Male': 0, 'Both Female and Male': 0}",83.33,83.33,16.67,393164001,675706,19279,2022-01-28 23:00:30 UTC,Shaw16641_D255JPEG(b).png,"{0: ['393162098'], 1: [], 2: ['393164001', '393254028', '393316465', '393633843', '393834303'], 3: [], 4: []}"
72170195,Sterile,4,"{'Not sure': 0, 'Sterile': 4, 'Female ': 0, 'Male': 0, 'Both Female and Male': 0}",100.0,100.0,0.0,393164028,675706,19279,2022-01-28 23:00:36 UTC,PDL11489JPEG(a).jpg,"{0: [], 1: ['393164028', '393316366', '393602139', '393834313'], 2: [], 3: [], 4: []}"
